ID,Username,Author ID,Date,Time,Retweets,Favorites,Text,Mentions,Hashtags,Permalink,URL
20556224458137600,Fortunado82,30766283,2010-12-31,00:36,0,0,"""Lol the Maltese Vulcan #thesimpsons""",-,#thesimpsons,https://twitter.com/Fortunado82/status/20556224458137600,-
20543148044324864,PhilbeeDnb,74405584,2010-12-30,23:44,0,0,""""look at these refugees,not even a smile" "they've been thru terrible hardship!" "well moaping won't make it better" #thesimpsons""",-,#thesimpsons,https://twitter.com/PhilbeeDnb/status/20543148044324864,-
20542427517423616,samgrinsell,166183171,2010-12-30,23:41,0,0,""""you can't silence the truth with beanbags!" gotta love #thesimpsons :D""",-,#thesimpsons,https://twitter.com/samgrinsell/status/20542427517423616,-
20540739763052544,ben_bwoi,126162586,2010-12-30,23:34,0,0,"""put it in yer cap, put it in yer cap #thesimpsons""",-,#thesimpsons,https://twitter.com/ben_bwoi/status/20540739763052544,-
20536543680667648,CarlosAlvarezM_,160012189,2010-12-30,23:17,0,0,"""#TheSimpsons :D""",-,#TheSimpsons,https://twitter.com/CarlosAlvarezM_/status/20536543680667648,-
20533672360812545,deejay4star,176209685,2010-12-30,23:06,1,0,""""I never appologize... I'm sorry Lisa but that's just the way I am." #gottalove #thesimpsons""",-,#gottalove #thesimpsons,https://twitter.com/deejay4star/status/20533672360812545,-
20529025642397696,SurpassingStar,76756719,2010-12-30,22:47,0,0,"""A little break with the Simpsons! :) http://bit.ly/9POnEy #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/SurpassingStar/status/20529025642397696,-
20523060364836864,FernandaVMelo AdolescenTV,109114106,2010-12-30,22:24,0,0,"""@UmDesenhoCitou #UmDesenhoCitou pig spider pig spider mt pig and less spider kkkk I laughed (#thesimpsons)""",@UmDesenhoCitou,#UmDesenhoCitou #thesimpsons,https://twitter.com/FernandaVMelo/status/20523060364836864,-
20519174623203328,outcastja,122213711,2010-12-30,22:08,0,0,"""Catching up with this season http://bit.ly/9POnEy #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/outcastja/status/20519174623203328,-
20502350523269120,Gone_fr,51526992,2010-12-30,21:01,0,0,"""#Usher ripped off OMG from #TheSimpsons ? > http://bit.ly/gFfyZW""",-,#Usher #TheSimpsons,https://twitter.com/Gone_fr/status/20502350523269120,-
20498462311186432,I_am_Anaisa,26293383,2010-12-30,20:46,0,0,"""#thesimpsons = stupid fucking program. *sigh*""",-,#thesimpsons,https://twitter.com/I_am_Anaisa/status/20498462311186432,-
20497146247651328,ebow206,22761164,2010-12-30,20:41,0,0,"""#thesimpsons""",-,#thesimpsons,https://twitter.com/ebow206/status/20497146247651328,-
20494998587834369,Jorgetteles,51765873,2010-12-30,20:32,0,0,"""#TheSimpsons is my favorite drawing. Really like.""",-,#TheSimpsons,https://twitter.com/Jorgetteles/status/20494998587834369,-
20493807690715136,LoJayyy__,192584063,2010-12-30,20:27,0,0,"""#TheSimpsons Marathon.. This is The Only Place Where I Can Do This!""",-,#TheSimpsons,https://twitter.com/LoJayyy__/status/20493807690715136,-
20491073344245760,maycokun,51195201,2010-12-30,20:17,0,0,"""watching #TheSimpsons =]""",-,#TheSimpsons,https://twitter.com/maycokun/status/20491073344245760,-
20490614202175488,mrvaidya,14794077,2010-12-30,20:15,0,0,"""Oh Margie / You came and you found me a turkey #daww #thesimpsons""",-,#daww #thesimpsons,https://twitter.com/mrvaidya/status/20490614202175488,-
20487430767382528,andrefariashnd,87738686,2010-12-30,20:02,0,0,"""finally in caasa .. Watching #TheSimpsons""",-,#TheSimpsons,https://twitter.com/andrefariashnd/status/20487430767382528,-
20485823510085632,nofx1337,14103001,2010-12-30,19:56,0,0,"""I am watching The Simpsons http://bit.ly/fseorf #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/nofx1337/status/20485823510085632,-
20480431296086016,yolucaspascoal,83263434,2010-12-30,19:34,0,0,"""#thesimpsons""",-,#thesimpsons,https://twitter.com/yolucaspascoal/status/20480431296086016,-
20477876298063872,marco_ctrl,141009907,2010-12-30,19:24,0,0,"""#TheSimpsons *-*""",-,#TheSimpsons,https://twitter.com/marco_ctrl/status/20477876298063872,-
20476851918999553,nicktainara,120584940,2010-12-30,19:20,0,0,"""Taking medicine and continuing to have a fever is not cool! = / After watching at least a 7 episodes of #TheSimpsons I got to sleep .. the /""",-,#TheSimpsons,https://twitter.com/nicktainara/status/20476851918999553,-
20475945366323200,blackvalo,33347082,2010-12-30,19:17,0,0,"""Galactic Mystery Solvers #TheSimpsons""",-,#TheSimpsons,https://twitter.com/blackvalo/status/20475945366323200,-
20474871033102337,luiza___P,14127207,2010-12-30,19:12,0,0,"""@Cabellone #THESIMPSONS !!!""",@Cabellone,#THESIMPSONS,https://twitter.com/luiza___P/status/20474871033102337,-
20474134135832576,SrOvelhaBR,130711087,2010-12-30,19:09,0,0,"""#thesimpsons""",-,#thesimpsons,https://twitter.com/SrOvelhaBR/status/20474134135832576,-
20474085456740352,BigDradio,25555119,2010-12-30,19:09,0,0,"""Usher steals his him "OMG from #TheSimpsons ?? Check the audio on my @1013KDWB page and you decide --> http://tinyurl.com/23kjyap""",@1013KDWB,#TheSimpsons,https://twitter.com/BigDradio/status/20474085456740352,-
20466976769974272,JuvatVivere,25343203,2010-12-30,18:41,0,0,"""Why make 31 flavors when vanilla is still not mastered? : D #thesimpsons""",-,#thesimpsons,https://twitter.com/JuvatVivere/status/20466976769974272,-
20431946295287808,Silken1987,19731626,2010-12-30,16:22,0,0,"""Absolutely love this episode, Krusty and his dad :) #TheSimpsons""",-,#TheSimpsons,https://twitter.com/Silken1987/status/20431946295287808,-
20418571414798336,kingduncan42,185186156,2010-12-30,15:29,1,0,"""I shouldn't have eaten that package of powdered gravy I found in the parking lot. #thesimpsons""",-,#thesimpsons,https://twitter.com/kingduncan42/status/20418571414798336,-
20403897487073280,star_dust86,42835188,2010-12-30,14:30,0,0,"""1:00am and playing #TheSimpsons Scene It with my brother. This is what I call late-night partying.""",-,#TheSimpsons,https://twitter.com/star_dust86/status/20403897487073280,-
20401055661563905,1cashvito,45999249,2010-12-30,14:19,0,0,"""@Dear_KayLove Lls. #TheSimpsons !!!""",@Dear_KayLove,#TheSimpsons,https://twitter.com/1cashvito/status/20401055661563905,-
20397123518332930,salvatier,39594254,2010-12-30,14:03,0,0,"""Currently watching The Simpsons Episode 409 – Mr. Plow http://tsepisode.org/episode-409-mr-plow/#video #thesimpsons #comedy""",-,#video #thesimpsons #comedy,https://twitter.com/salvatier/status/20397123518332930,-
20394744639131648,tavane,31476269,2010-12-30,13:54,0,0,"""Now watching #thesimpsons . I was never allowed to watch this growing up.""",-,#thesimpsons,https://twitter.com/tavane/status/20394744639131648,-
20379062409101313,ORIOLmendivil,5972882,2010-12-30,12:52,0,0,"""definitely #TwoAndAHalfMen is still my favorite after #TheSimpsons""",-,#TwoAndAHalfMen #TheSimpsons,https://twitter.com/ORIOLmendivil/status/20379062409101313,-
20378421154549760,TheStumeister75,19652977,2010-12-30,12:49,0,0,"""Bart doing ballet is so funny #TheSimpsons""",-,#TheSimpsons,https://twitter.com/TheStumeister75/status/20378421154549760,-
20376303307849728,abintensa,98712177,2010-12-30,12:41,0,0,"""haha pqe tdos see #thesimpsons at this time?""",-,#thesimpsons,https://twitter.com/abintensa/status/20376303307849728,-
20375074846547968,TheStumeister75,19652977,2010-12-30,12:36,0,0,"""I love http://bit.ly/9POnEy #TheSimpsons (via @GetGlue )""",@GetGlue,#TheSimpsons,https://twitter.com/TheStumeister75/status/20375074846547968,-
